country_code,region_mundo
US,Norteamérica
CA,Norteamérica
MX,Norteamérica
GT,Norteamérica
HO,Norteamérica
NU,Norteamérica
CS,Norteamérica
PM,Norteamérica
CU,Caribe
HA,Caribe
DR,Caribe
JM,Caribe
PU,Caribe
VI,Caribe
AC,Sudamérica
AR,Sudamérica
BL,Sudamérica
BR,Sudamérica
CI,Sudamérica
CO,Sudamérica
EC,Sudamérica
FG,Sudamérica
GY,Sudamérica
NS,Sudamérica
PA,Sudamérica
PE,Sudamérica
PY,Sudamérica
SR,Sudamérica
UY,Sudamérica
VE,Sudamérica
AL,Europa
AN,Europa
AU,Europa
BE,Europa
BK,Europa
BO,Europa
BU,Europa
CY,Europa
DA,Europa
EI,Europa
EN,Europa
EZ,Europa
FI,Europa
FR,Europa
GG,Europa
GM,Europa
GR,Europa
HR,Europa
HU,Europa
IC,Europa
IRL,Europa
IT,Europa
LG,Europa
LH,Europa
LO,Europa
LS,Europa
LU,Europa
MD,Europa
MK,Europa
MT,Europa
NL,Europa
NO,Europa
PL,Europa
PO,Europa
RO,Europa
RS,Europa
SI,Europa
SP,Europa
SW,Europa
SZ,Europa
UK,Europa
UP,Europa
AJ,Asia
AM,Asia
BG,Asia
BM,Asia
BT,Asia
CB,Asia
CE,Asia
CH,Asia
CY,Asia
HK,Asia
ID,Asia
IN,Asia
JA,Asia
KG,Asia
KN,Asia
KS,Asia
KZ,Asia
LA,Asia
LE,Asia
MG,Asia
MP,Asia
MY,Asia
NP,Asia
PK,Asia
RP,Asia
SN,Asia
TH,Asia
TI,Asia
TX,Asia
UZ,Asia
VM,Asia
AF,Medio Oriente
AE,Medio Oriente
BA,Medio Oriente
IR,Medio Oriente
IQ,Medio Oriente
IS,Medio Oriente
JO,Medio Oriente
KU,Medio Oriente
LE,Medio Oriente
MU,Medio Oriente
QA,Medio Oriente
SA,Medio Oriente
SY,Medio Oriente
TU,Medio Oriente
YM,Medio Oriente
AG,África
AO,África
BC,África
BN,África
BY,África
CD,África
CF,África
CG,África
CM,África
CN,África
CT,África
CV,África
DJ,África
EG,África
EK,África
ER,África
ET,África
GA,África
GH,África
GV,África
IV,África
KE,África
LI,África
LY,África
MA,África
MI,África
ML,África
MO,África
MR,África
NG,África
NI,África
PU,África
RW,África
SE,África
SF,África
SG,África
SL,África
SO,África
SU,África
TO,África
TP,África
TS,África
TZ,África
UG,África
WA,África
WI,África
WZ,África
ZA,África
AS,Oceanía
FJ,Oceanía
NC,Oceanía
NE,Oceanía
NZ,Oceanía
PP,Oceanía
